light address,d,theta,theta reverse
0,0,0,360
1,1,120,240
2,1,180,180
3,1,240,120
4,1,300,60
5,1,0,360
6,1,60,300
7,2,90,270
8,2,120,240
9,2,150,210
10,2,180,180
11,2,210,150
12,2,240,120
13,2,270,90
14,2,300,60
15,2,330,30
16,2,0,360
17,2,30,330
18,2,60,300
19,3,75,285
20,3,90,270
21,3,105,255
22,3,120,240
23,3,135,225
24,3,150,210
25,3,165,195
26,3,180,180
27,3,195,165
28,3,210,150
29,3,225,135
30,3,240,120
31,3,255,105
32,3,270,90
33,3,285,75
34,3,300,60
35,3,315,45
36,3,330,30
37,3,345,15
38,3,0,360
39,3,15,345
40,3,30,330
41,3,45,315
42,3,60,300
43,4,75,285
44,4,90,270
45,4,105,255
46,4,120,240
47,4,135,225
48,4,150,210
49,4,165,195
64,6,195,165
65,6,180,180
66,6,165,195
67,6,150,210
68,6,135,225
69,6,120,240
70,6,105,255
71,6,90,270
72,6,75,285
73,5,60,300
74,5,45,315
75,5,30,330
76,5,15,345
77,5,0,360
78,5,345,15
79,5,330,30
80,5,315,45
81,5,300,60
82,5,285,75
83,5,270,90
84,5,255,105
85,5,240,120
86,5,225,135
87,5,210,150
88,5,195,165
89,5,180,180
90,5,165,195
91,5,150,210
92,5,135,225
93,5,120,240
94,5,105,255
95,5,90,270
96,5,75,285
97,4,60,300
98,4,45,315
99,4,30,330
100,4,15,345
101,4,0,360
102,4,345,15
103,4,330,30
104,4,315,45
105,4,300,60
106,4,285,75
107,4,270,90
108,4,255,105
109,4,240,120
110,4,225,135
111,4,210,150
112,4,195,165
113,4,180,180
128,6,210,150
129,6,225,135
130,6,240,120
131,6,255,105
132,6,270,90
133,6,285,75
134,6,300,60
135,6,315,45
136,6,330,30
137,6,345,15
138,6,0,360
139,6,15,345
140,6,30,330
141,6,45,315
142,6,60,300
143,7,75,285
144,7,90,270
145,7,105,255
146,7,120,240
147,7,135,225
148,7,150,210
149,7,165,195
150,7,180,180
151,7,195,165
152,7,210,150
153,7,225,135
154,7,240,120
155,7,255,105
156,7,270,90
157,7,285,75
158,7,300,60
159,7,315,45
160,7,330,30
161,7,345,15
162,7,0,360
163,7,15,345
164,7,30,330
165,7,45,315
166,7,60,300
167,8,75,285
168,8,90,270
169,8,105,255
170,8,120,240
171,8,135,225
172,8,150,210
173,8,165,195
174,8,180,180
175,8,195,165
176,8,210,150
177,8,225,135
192,8,240,120
193,8,255,105
194,8,270,90
195,8,285,75
196,8,300,60
197,8,315,45
198,8,330,30
199,8,345,15
200,8,0,360
201,8,15,345
202,8,30,330
203,8,45,315
204,8,60,300
205,9,75,285
206,9,90,270
207,9,105,255
208,9,120,240
209,9,135,225
210,9,150,210
211,9,175,185
212,9,180,180
213,9,195,165
214,9,210,150
215,9,225,135
216,9,240,120
217,9,255,105
218,9,270,90
219,9,285,75
220,9,300,60
221,9,315,45
222,9,330,30
223,9,345,15
224,9,0,360
225,9,15,345
226,9,30,330
227,9,45,315
228,9,60,300
229,10,75,285
230,10,90,270
231,10,105,255
232,10,120,240
233,10,135,225
234,10,150,210
235,10,165,195
236,10,180,180
237,10,195,165
238,10,210,150
239,10,225,135
240,10,240,120
241,10,255,105
256,11,165,195
257,11,180,180
258,11,195,165
259,12,195,165
260,12,180,180
261,12,165,195
262,11,120,240
263,12,105,255
264,11,105,255
265,12,90,270
266,11,90,270
267,12,75,285
268,11,75,285
269,11,60,300
270,10,60,300
271,10,45,315
272,10,15,345
273,11,0,360
274,10,0,360
275,10,345,15
276,10,300,60
277,10,285,75
278,10,270,90
279,11,255,105
280,11,270,90
281,11,285,75
282,12,270,90
283,12,255,105
284,11,240,120
